ID	Cluster_ID
gdb_66703	9
gdb_26191	53
gdb_51408	21
gdb_61444	53
gdb_90638	0
gdb_125585	25
gdb_57672	2
gdb_91667	6
gdb_101153	53
gdb_36201	3
gdb_119687	6
gdb_67936	40
gdb_38191	40
gdb_73567	31
gdb_16332	48
gdb_92902	25
gdb_7199	49
gdb_86439	25
gdb_43239	4
gdb_81861	40
gdb_43048	24
gdb_52839	16
gdb_111973	30
gdb_28320	38
gdb_111290	35
gdb_101892	49
gdb_102531	45
gdb_79817	31
gdb_111120	21
gdb_53230	30
gdb_6327	49
gdb_13724	30
gdb_90086	26
gdb_44390	23
gdb_96731	53
gdb_63553	16
gdb_121820	32
gdb_49719	21
gdb_103870	29
gdb_578	8
gdb_25295	53
gdb_87367	48
gdb_29662	52
gdb_118755	44
gdb_25411	50
gdb_43044	24
gdb_120441	29
gdb_68856	20
gdb_83624	52
gdb_48801	48
gdb_52158	8
gdb_32998	8
gdb_93268	48
gdb_36451	29
gdb_61102	2
gdb_51290	28
gdb_35133	50
gdb_18813	52
gdb_48678	3
gdb_115132	30
gdb_85470	30
gdb_18714	52
gdb_55504	45
gdb_119301	44
gdb_14624	32
gdb_28426	25
gdb_105610	16
gdb_119369	3
gdb_28877	25
gdb_96278	25
gdb_115425	50
gdb_132895	25
gdb_10928	35
gdb_132906	25
gdb_112422	30
gdb_62989	1
gdb_23266	28
gdb_14985	50
gdb_93764	25
gdb_67391	20
gdb_24575	39
gdb_31019	30
gdb_89994	16
gdb_116867	49
gdb_62314	26
gdb_25090	25
gdb_5869	32
gdb_20389	47
gdb_78222	9
gdb_102462	45
gdb_12273	30
gdb_90342	38
gdb_12138	18
gdb_126082	38
gdb_93748	21
gdb_25175	30
gdb_132396	25
gdb_102915	13
gdb_101825	49
gdb_80067	4
gdb_24457	47
gdb_131714	30
gdb_92516	52
gdb_118851	29
gdb_117087	49
gdb_31397	50
gdb_100944	45
gdb_105638	16
gdb_31287	30
gdb_99792	2
gdb_56194	8
gdb_115775	30
gdb_7379	45
gdb_19058	23
gdb_36180	7
gdb_96230	25
gdb_117274	49
gdb_30880	30
gdb_82764	24
gdb_52438	32
gdb_64735	16
gdb_33071	8
gdb_132946	25
gdb_12972	1
gdb_114031	30
gdb_101250	11
gdb_53432	30
gdb_85748	30
gdb_117451	49
gdb_121677	49
gdb_11375	50
gdb_130331	52
gdb_38472	33
gdb_43520	30
gdb_15991	29
gdb_18462	21
gdb_52814	29
gdb_33572	44
gdb_122120	13
gdb_108006	26
gdb_23212	6
gdb_71300	33
gdb_11291	50
gdb_130013	38
gdb_13035	30
gdb_31052	30
gdb_71311	33
gdb_30885	30
gdb_22989	30
gdb_21492	53
gdb_11201	50
gdb_89165	35
gdb_48787	54
gdb_94639	30
gdb_56274	8
gdb_78206	9
gdb_52888	29
gdb_53723	49
gdb_31144	21
gdb_74662	24
gdb_96823	30
gdb_1849	25
gdb_126866	8
gdb_97372	53
gdb_9533	16
gdb_87882	6
gdb_123909	47
gdb_3258	39
gdb_56834	53
gdb_65362	29
gdb_24063	8
gdb_6612	51
gdb_130737	30
gdb_404	44
gdb_78977	4
gdb_60920	53
gdb_439	25
gdb_33466	3
gdb_56860	53
gdb_43280	11
gdb_46568	16
gdb_115397	50
gdb_87189	29
gdb_30579	8
gdb_108872	50
gdb_122656	8
gdb_73625	40
gdb_54266	11
gdb_23823	25
gdb_22679	53
gdb_109362	30
gdb_101199	42
gdb_91460	0
gdb_21652	50
gdb_21637	50
gdb_94698	40
gdb_96924	1
gdb_96910	35
gdb_118286	49
gdb_122126	13
gdb_33020	8
gdb_118884	29
gdb_18458	21
gdb_126052	52
gdb_8579	39
gdb_119911	35
gdb_29808	30
gdb_59769	5
gdb_66438	9
gdb_90977	1
gdb_129764	52
gdb_40442	37
gdb_39579	47
gdb_10228	13
gdb_32576	21
gdb_55901	30
gdb_127011	30
gdb_88833	52
gdb_7568	11
gdb_115063	28
gdb_32340	50
gdb_7516	29
gdb_121001	8
gdb_112953	50
gdb_59339	5
gdb_76704	21
gdb_103155	26
gdb_14795	32
gdb_131079	8
gdb_89576	27
gdb_97889	49
gdb_44336	52
gdb_48443	3
gdb_24502	47
gdb_6268	49
gdb_64807	54
gdb_40358	12
gdb_63854	29
gdb_72013	20
gdb_5210	8
gdb_66694	9
gdb_97356	13
gdb_132731	25
gdb_1798	11
gdb_131609	53
gdb_29443	8
gdb_65520	20
gdb_103658	44
gdb_3546	4
gdb_28305	38
gdb_7074	49
gdb_23609	28
gdb_76173	44
gdb_132014	25
gdb_37865	7
gdb_92494	54
gdb_64813	54
gdb_106744	22
gdb_57951	45
gdb_101121	11
gdb_61230	53
gdb_112080	30
gdb_2855	30
gdb_121044	8
gdb_45443	52
gdb_10962	35
gdb_21612	25
gdb_130480	30
gdb_31477	50
gdb_101314	30
gdb_66990	1
gdb_114242	50
gdb_103722	44
gdb_25627	30
gdb_60402	30
gdb_61625	30
gdb_60977	11
gdb_51070	26
gdb_113460	6
gdb_84131	16
gdb_76634	31
gdb_79726	4
gdb_120563	50
gdb_31708	50
gdb_53083	30
gdb_127926	50
gdb_78318	31
gdb_23515	21
gdb_128725	30
gdb_13221	53
gdb_58835	11
gdb_17221	6
gdb_55169	5
gdb_8918	45
gdb_46187	48
gdb_130532	47
gdb_102486	45
gdb_35876	29
gdb_77860	21
gdb_116898	49
gdb_77259	21
gdb_54249	11
gdb_16816	52
gdb_31843	50
gdb_84823	30
gdb_3135	3
gdb_34119	3
gdb_36721	8
gdb_58093	46
gdb_64687	29
gdb_1626	45
gdb_110572	33
gdb_5746	52
gdb_69208	0
gdb_98608	53
gdb_62623	22
gdb_42734	6
gdb_68573	40
gdb_125294	30
gdb_32677	28
gdb_31792	30
gdb_81358	24
gdb_93673	40
gdb_40010	12
gdb_17625	46
gdb_122091	13
gdb_29295	38
gdb_56688	14
gdb_79332	20
gdb_120869	35
gdb_127907	50
gdb_51040	44
gdb_129214	30
gdb_53767	49
gdb_116724	30
gdb_22218	45
gdb_129318	25
gdb_123956	47
gdb_90825	4
gdb_52050	44
gdb_116190	29
gdb_6553	30
gdb_48005	28
gdb_61359	49
gdb_129682	30
gdb_26791	50
gdb_81141	3
gdb_619	30
gdb_22550	45
gdb_101380	53
gdb_28118	38
gdb_2799	30
gdb_128897	8
gdb_131059	8
gdb_119212	29
gdb_2757	30
gdb_46065	38
gdb_79414	54
gdb_70724	40
gdb_90297	23
gdb_25388	25
gdb_65960	44
gdb_64661	26
gdb_55269	53
gdb_60255	30
gdb_20124	53
gdb_109941	16
gdb_82383	24
gdb_51411	8
gdb_5501	30
gdb_29120	25
gdb_23906	32
gdb_38226	16
gdb_50208	21
gdb_15619	30
gdb_19370	7
gdb_57971	53
gdb_111457	23
gdb_89422	54
gdb_102850	13
gdb_30197	52
gdb_24883	25
gdb_85075	25
gdb_32848	8
gdb_120528	50
gdb_18370	52
gdb_25291	8
gdb_42996	28
gdb_20494	47
gdb_108219	29
gdb_20800	30
gdb_103397	26
gdb_54183	29
gdb_124537	53
gdb_15248	21
gdb_63703	18
gdb_35236	29
gdb_65206	54
gdb_120326	8
gdb_6640	49
gdb_75267	21
gdb_105068	3
gdb_15302	30
gdb_87790	16
gdb_83731	52
gdb_883	25
gdb_122190	44
gdb_21920	30
gdb_116948	49
gdb_43074	4
gdb_60617	5
gdb_17447	0
gdb_6366	49
gdb_56325	49
gdb_16374	6
gdb_33967	40
gdb_56376	8
gdb_41305	7
gdb_100025	51
gdb_89950	3
gdb_68853	20
