ID	Split
CHEMBL68920	Split000
CHEMBL69960	Split000
CHEMBL137635	Split000
CHEMBL306988	Split000
CHEMBL66879	Split000
CHEMBL77085	Split000
CHEMBL443268	Split000
CHEMBL76979	Split001
CHEMBL76589	Split001
CHEMBL77724	Split000
CHEMBL420385	Split000
CHEMBL76904	Split000
CHEMBL1009	Split000
CHEMBL304271	Split000
CHEMBL296407	Split000
CHEMBL309625	Split000
CHEMBL77825	Split000
CHEMBL421877	Split000
CHEMBL310798	Split000
CHEMBL135592	Split000
CHEMBL309866	Split001
CHEMBL77381	Split001
CHEMBL76602	Split001
CHEMBL77737	Split000
CHEMBL76983	Split000
CHEMBL308134	Split000
CHEMBL136491	Split000
CHEMBL77280	Split001
CHEMBL42423	Split000
CHEMBL76557	Split001
CHEMBL336113	Split000
CHEMBL133024	Split000
CHEMBL344652	Split000
CHEMBL77814	Split000
CHEMBL47986	Split000
CHEMBL441343	Split001
CHEMBL138125	Split000
CHEMBL137364	Split000
CHEMBL308339	Split000
CHEMBL78174	Split000
CHEMBL302552	Split000
CHEMBL309598	Split000
CHEMBL78302	Split000
CHEMBL67057	Split000
CHEMBL332096	Split000
CHEMBL77387	Split000
CHEMBL432903	Split000
CHEMBL69964	Split000
CHEMBL65848	Split000
CHEMBL69129	Split000
CHEMBL78184	Split001
CHEMBL76985	Split001
CHEMBL145	Split000
CHEMBL69629	Split000
CHEMBL136492	Split000
CHEMBL77197	Split000
CHEMBL305695	Split000
CHEMBL68258	Split000
CHEMBL76587	Split000
CHEMBL77456	Split000
CHEMBL66570	Split000
CHEMBL308048	Split001
CHEMBL311119	Split000
CHEMBL76905	Split000
CHEMBL77524	Split001
CHEMBL305194	Split000
CHEMBL307250	Split000
CHEMBL80155	Split000
CHEMBL343352	Split000
CHEMBL52765	Split000
CHEMBL77436	Split001
CHEMBL311564	Split000
CHEMBL76642	Split001
CHEMBL308645	Split000
CHEMBL67003	Split000
CHEMBL307248	Split000
CHEMBL310958	Split000
CHEMBL78005	Split000
CHEMBL134312	Split000
CHEMBL77243	Split001
CHEMBL80745	Split000
CHEMBL77778	Split000
CHEMBL305246	Split000
CHEMBL69966	Split000
CHEMBL47940	Split000
CHEMBL57712	Split000
CHEMBL77869	Split000
CHEMBL69358	Split000
CHEMBL137189	Split000
CHEMBL137617	Split000
CHEMBL137027	Split001
CHEMBL78257	Split000
CHEMBL76082	Split000
CHEMBL77595	Split001
CHEMBL309334	Split000
CHEMBL310514	Split000
CHEMBL304971	Split000
CHEMBL69071	Split000
CHEMBL137534	Split000
CHEMBL137788	Split001
CHEMBL69709	Split000
CHEMBL424093	Split000
CHEMBL77030	Split000
CHEMBL78150	Split000
CHEMBL69106	Split000
CHEMBL264382	Split000
CHEMBL308133	Split001
CHEMBL307179	Split000
CHEMBL305782	Split000
CHEMBL308672	Split000
