ID	Split
CHEMBL207869	Split001
CHEMBL3940060	Split001
CHEMBL3678951	Split001
CHEMBL504034	Split001
CHEMBL158797	Split001
CHEMBL4069003	Split001
CHEMBL599047	Split001
CHEMBL93545	Split001
CHEMBL93181	Split001
CHEMBL203644	Split001
CHEMBL591706	Split001
CHEMBL217536	Split001
CHEMBL498134	Split001
CHEMBL248674	Split001
CHEMBL129579	Split001
CHEMBL78150	Split001
CHEMBL1241948	Split001
CHEMBL3233765	Split001
CHEMBL103860	Split001
CHEMBL3752916	Split001
CHEMBL93784	Split001
CHEMBL2047247	Split001
CHEMBL592153	Split001
CHEMBL1947122	Split001
CHEMBL2283257	Split001
CHEMBL53637	Split001
CHEMBL1257911	Split001
CHEMBL1614725	Split001
CHEMBL21108	Split001
CHEMBL3335245	Split001
CHEMBL1821893	Split001
CHEMBL4065503	Split001
CHEMBL294681	Split001
CHEMBL483232	Split001
CHEMBL2385986	Split001
CHEMBL3436359	Split001
CHEMBL1095131	Split001
CHEMBL205149	Split001
CHEMBL2425737	Split001
CHEMBL263666	Split001
CHEMBL3740910	Split001
CHEMBL57300	Split001
CHEMBL598377	Split001
CHEMBL2348194	Split001
CHEMBL3092309	Split001
CHEMBL2029697	Split001
CHEMBL1080812	Split001
CHEMBL1088348	Split001
CHEMBL3671572	Split001
CHEMBL2312304	Split001
CHEMBL78184	Split001
CHEMBL283682	Split001
CHEMBL3628907	Split001
CHEMBL4087646	Split001
CHEMBL110036	Split001
CHEMBL4091166	Split001
CHEMBL415738	Split001
CHEMBL1641989	Split001
CHEMBL450396	Split001
CHEMBL4104717	Split001
CHEMBL117697	Split001
CHEMBL168921	Split001
CHEMBL2029436	Split001
CHEMBL255865	Split001
CHEMBL57170	Split001
CHEMBL55979	Split001
CHEMBL1630117	Split001
CHEMBL324045	Split001
CHEMBL4062192	Split001
CHEMBL3671547	Split001
CHEMBL112096	Split001
CHEMBL330668	Split001
CHEMBL1203934	Split001
CHEMBL425601	Split001
CHEMBL205870	Split001
CHEMBL3085277	Split001
CHEMBL474343	Split001
CHEMBL45068	Split001
CHEMBL3218347	Split001
CHEMBL4064937	Split001
CHEMBL1242661	Split001
CHEMBL111688	Split001
CHEMBL480348	Split001
CHEMBL1170459	Split001
CHEMBL77524	Split001
CHEMBL56201	Split001
CHEMBL3800262	Split001
CHEMBL3671497	Split001
CHEMBL3957416	Split001
CHEMBL2408824	Split000
CHEMBL345837	Split000
CHEMBL2437474	Split000
CHEMBL598611	Split000
CHEMBL35820	Split000
CHEMBL3416593	Split000
CHEMBL378145	Split000
CHEMBL1958220	Split000
CHEMBL4111809	Split000
CHEMBL36164	Split000
CHEMBL3908303	Split000
CHEMBL3671530	Split000
CHEMBL511990	Split000
CHEMBL4093114	Split000
CHEMBL2325101	Split001
CHEMBL53310	Split001
CHEMBL51028	Split000
CHEMBL1928954	Split000
CHEMBL2064388	Split000
CHEMBL3943512	Split000
CHEMBL354310	Split000
CHEMBL3263364	Split000
CHEMBL461114	Split000
CHEMBL3671564	Split000
CHEMBL424853	Split000
CHEMBL1241773	Split001
CHEMBL2325108	Split000
CHEMBL257872	Split000
CHEMBL325589	Split001
CHEMBL2048789	Split000
CHEMBL329672	Split000
CHEMBL3671493	Split000
CHEMBL1241683	Split000
CHEMBL3219502	Split001
CHEMBL489111	Split000
CHEMBL4105503	Split000
CHEMBL1243345	Split000
CHEMBL402339	Split001
CHEMBL321193	Split000
CHEMBL3774926	Split001
CHEMBL1242201	Split000
CHEMBL3655341	Split000
CHEMBL2347964	Split000
CHEMBL296407	Split001
CHEMBL2322329	Split000
CHEMBL592707	Split001
CHEMBL1272168	Split000
CHEMBL116525	Split001
CHEMBL3234747	Split000
CHEMBL3088220	Split000
CHEMBL1830273	Split000
CHEMBL3671520	Split001
CHEMBL308593	Split001
CHEMBL422758	Split000
CHEMBL3671476	Split000
CHEMBL598307	Split000
CHEMBL305194	Split000
CHEMBL2031299	Split000
CHEMBL2426288	Split001
CHEMBL1229592	Split000
CHEMBL2031309	Split000
CHEMBL202162	Split000
CHEMBL77197	Split000
CHEMBL4065288	Split000
CHEMBL3758585	Split000
CHEMBL544074	Split000
CHEMBL1928708	Split001
CHEMBL3325473	Split001
CHEMBL472942	Split001
CHEMBL3814460	Split000
CHEMBL3355879	Split000
CHEMBL3815161	Split000
CHEMBL3221555	Split001
CHEMBL248220	Split000
CHEMBL306988	Split001
CHEMBL592426	Split000
CHEMBL299194	Split001
CHEMBL31876	Split000
CHEMBL113863	Split000
CHEMBL185637	Split000
CHEMBL4073912	Split000
CHEMBL165630	Split000
CHEMBL1812567	Split000
CHEMBL512391	Split000
CHEMBL110035	Split000
CHEMBL92937	Split000
CHEMBL1173105	Split000
CHEMBL59145	Split001
CHEMBL3663925	Split000
CHEMBL1242111	Split001
CHEMBL3940089	Split000
CHEMBL1241490	Split000
CHEMBL3414594	Split000
CHEMBL96780	Split000
CHEMBL1242666	Split000
CHEMBL1204360	Split000
CHEMBL160935	Split000
CHEMBL14952	Split000
CHEMBL1173262	Split000
CHEMBL203645	Split000
CHEMBL1683962	Split000
CHEMBL76587	Split001
CHEMBL521155	Split000
CHEMBL461782	Split000
CHEMBL1914461	Split001
CHEMBL490577	Split000
CHEMBL1242748	Split000
CHEMBL1242475	Split001
CHEMBL3233772	Split000
CHEMBL141175	Split000
CHEMBL3753444	Split000
CHEMBL539102	Split001
CHEMBL3899132	Split000
CHEMBL56936	Split000
CHEMBL171311	Split000
CHEMBL1241678	Split000
CHEMBL474524	Split000
CHEMBL1241481	Split000
CHEMBL596964	Split000
CHEMBL157128	Split000
CHEMBL3671507	Split000
CHEMBL243628	Split000
CHEMBL3655348	Split001
CHEMBL459	Split000
CHEMBL91811	Split000
CHEMBL118321	Split000
CHEMBL1947125	Split000
CHEMBL398963	Split000
CHEMBL4078801	Split000
CHEMBL3962343	Split001
CHEMBL203295	Split000
CHEMBL3904966	Split000
CHEMBL118904	Split001
CHEMBL3671557	Split000
CHEMBL3910422	Split000
CHEMBL2424801	Split000
CHEMBL281467	Split001
CHEMBL3325470	Split000
CHEMBL78280	Split000
CHEMBL336113	Split000
CHEMBL4087709	Split000
CHEMBL14699	Split001
CHEMBL571040	Split000
CHEMBL1077107	Split000
CHEMBL3814211	Split000
CHEMBL1916897	Split001
CHEMBL3612593	Split000
CHEMBL1241300	Split000
CHEMBL2347965	Split000
CHEMBL1828865	Split000
CHEMBL4109796	Split000
CHEMBL540590	Split000
CHEMBL1242033	Split000
CHEMBL3806172	Split001
CHEMBL3622648	Split000
CHEMBL111586	Split000
CHEMBL2029690	Split000
CHEMBL401930	Split001
CHEMBL2335376	Split000
CHEMBL2152252	Split000
CHEMBL144589	Split000
CHEMBL1934624	Split000
CHEMBL464210	Split000
CHEMBL3671489	Split000
CHEMBL1952211	Split000
CHEMBL3972168	Split000
CHEMBL1947121	Split000
CHEMBL3355881	Split000
CHEMBL379041	Split000
CHEMBL197689	Split000
CHEMBL3237936	Split000
CHEMBL3344212	Split000
CHEMBL3818115	Split000
CHEMBL597096	Split000
CHEMBL1683952	Split000
CHEMBL3098326	Split001
CHEMBL1094475	Split000
CHEMBL129946	Split000
CHEMBL3941823	Split001
CHEMBL2148047	Split000
CHEMBL3234744	Split000
CHEMBL3234752	Split000
CHEMBL67057	Split000
CHEMBL3951754	Split000
CHEMBL271532	Split000
CHEMBL1830263	Split000
CHEMBL205454	Split001
CHEMBL382041	Split000
CHEMBL114073	Split000
CHEMBL4073285	Split000
CHEMBL426124	Split000
CHEMBL3815115	Split000
CHEMBL3416625	Split000
CHEMBL76958	Split000
CHEMBL589822	Split000
CHEMBL3416629	Split000
CHEMBL113900	Split000
CHEMBL131020	Split000
CHEMBL3906533	Split000
CHEMBL293584	Split000
CHEMBL116438	Split000
CHEMBL2408045	Split000
CHEMBL218677	Split001
CHEMBL592617	Split000
CHEMBL1928711	Split001
CHEMBL538507	Split000
CHEMBL361322	Split000
CHEMBL3929584	Split000
CHEMBL462338	Split000
CHEMBL3655354	Split000
CHEMBL3092317	Split000
CHEMBL3952953	Split000
CHEMBL2048790	Split000
CHEMBL3805584	Split000
CHEMBL451513	Split000
CHEMBL3671478	Split000
CHEMBL3671487	Split000
CHEMBL3973601	Split000
CHEMBL359830	Split000
CHEMBL1916951	Split000
CHEMBL208144	Split000
CHEMBL1641992	Split000
CHEMBL3775459	Split001
CHEMBL340611	Split000
CHEMBL431996	Split001
CHEMBL309075	Split000
CHEMBL3360603	Split000
CHEMBL3923650	Split001
CHEMBL3612573	Split000
CHEMBL1914668	Split000
CHEMBL481331	Split000
CHEMBL452768	Split001
CHEMBL4075103	Split001
CHEMBL473428	Split000
CHEMBL3353398	Split000
CHEMBL1945453	Split000
CHEMBL255237	Split000
CHEMBL517123	Split000
CHEMBL1241486	Split000
CHEMBL140213	Split000
CHEMBL185853	Split000
CHEMBL1242029	Split000
CHEMBL3823520	Split000
CHEMBL1242288	Split000
CHEMBL2093928	Split000
CHEMBL3962365	Split000
CHEMBL3633940	Split000
CHEMBL248108	Split001
CHEMBL3805238	Split001
CHEMBL130049	Split000
CHEMBL392774	Split000
CHEMBL1242846	Split001
CHEMBL3923275	Split000
CHEMBL1081198	Split000
CHEMBL135577	Split000
CHEMBL1910268	Split000
CHEMBL3416602	Split001
CHEMBL3092322	Split000
CHEMBL595406	Split000
CHEMBL521572	Split000
CHEMBL1365395	Split000
CHEMBL590568	Split000
CHEMBL520515	Split000
CHEMBL1630108	Split000
CHEMBL270895	Split000
CHEMBL1241864	Split000
CHEMBL3799332	Split000
CHEMBL158275	Split000
CHEMBL3699586	Split000
CHEMBL3612563	Split000
CHEMBL295961	Split001
CHEMBL139044	Split000
CHEMBL1242468	Split000
CHEMBL4086731	Split000
CHEMBL301549	Split001
CHEMBL2031297	Split000
CHEMBL158119	Split001
CHEMBL336192	Split000
CHEMBL55204	Split001
CHEMBL119156	Split000
CHEMBL1173457	Split000
CHEMBL3221553	Split000
CHEMBL125920	Split000
CHEMBL422292	Split000
CHEMBL90013	Split001
CHEMBL527026	Split000
CHEMBL3915508	Split000
CHEMBL1198361	Split000
CHEMBL15346	Split000
CHEMBL3671491	Split001
CHEMBL1087054	Split000
CHEMBL589832	Split000
CHEMBL1958022	Split000
CHEMBL2336358	Split000
CHEMBL3671481	Split001
CHEMBL595615	Split000
CHEMBL1242664	Split000
CHEMBL54471	Split001
CHEMBL3921446	Split000
CHEMBL3237938	Split000
CHEMBL2048798	Split000
CHEMBL3699597	Split001
CHEMBL155100	Split000
CHEMBL4078973	Split000
CHEMBL381306	Split000
CHEMBL2381507	Split000
CHEMBL347282	Split000
CHEMBL2070195	Split000
CHEMBL76444	Split001
CHEMBL3676380	Split000
CHEMBL3671575	Split000
CHEMBL606466	Split000
CHEMBL2283255	Split000
CHEMBL3358006	Split001
CHEMBL1684800	Split000
CHEMBL340399	Split001
CHEMBL2029440	Split000
CHEMBL56132	Split000
CHEMBL597304	Split000
CHEMBL54475	Split001
CHEMBL1945446	Split000
CHEMBL3263963	Split000
CHEMBL37543	Split000
CHEMBL3416619	Split000
CHEMBL402553	Split000
CHEMBL1241771	Split001
CHEMBL305660	Split000
CHEMBL3325476	Split000
CHEMBL3746642	Split000
CHEMBL2437483	Split001
CHEMBL166093	Split000
CHEMBL156555	Split001
CHEMBL219557	Split000
CHEMBL1828876	Split001
CHEMBL1821888	Split001
CHEMBL440453	Split000
CHEMBL543600	Split000
CHEMBL255135	Split000
CHEMBL3921555	Split000
CHEMBL590878	Split000
CHEMBL3639752	Split001
CHEMBL448730	Split000
CHEMBL544867	Split000
