molecule_chembl_id	smiles	pIC50	molecular_weight
CHEMBL63786	Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1	11.522878745280336	349.021459484
CHEMBL35820	CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC	11.221848749616356	387.05823891599994
CHEMBL53711	CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1	11.221848749616356	343.04325754800004
CHEMBL66031	Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1	11.096910013008056	339.01195742000004
CHEMBL53753	CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1	11.096910013008056	329.02760748400004
CHEMBL176582	Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21	11.0	353.027607484
CHEMBL29197	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	10.602059991327964	359.02693878799994
CHEMBL174426	Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21	10.602059991327964	353.02760748400004
CHEMBL1243316	C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC	10.522878745280336	477.136780812
CHEMBL363815	C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1	10.431798275933003	376.029394552
CHEMBL3613702	C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1	10.431798275933003	376.029394552
CHEMBL275762	O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1	10.154901959985745	397.9904222
CHEMBL327307	COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC	10.142667503568733	436.937450856
CHEMBL53428	CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1	10.045757490560677	343.04325754800004
CHEMBL420624	Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1	10.0	314.01670845200005
CHEMBL55729	Nc1ccc2cncnc2c1	10.0	145.063997224
CHEMBL190094	CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1	9.958607314841776	433.087243776
CHEMBL328216	Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N	9.920818753952377	329.02760748400004
CHEMBL193160	O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1	9.920818753952377	437.9744366839999
CHEMBL3930620	O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO	9.920818753952377	483.1585788760001
CHEMBL51853	Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1	9.886056647693165	315.01195742000004
CHEMBL54400	CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1	9.886056647693165	329.02760748400004
CHEMBL3892310	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC21	9.886056647693165	511.178645624
CHEMBL417478	C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1	9.795880017344077	482.163329908
CHEMBL418967	CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC	9.769551078621726	415.08953904399993
